Sample,Treatment,Total Counted,Microcystis spp. ,Nitzschia spp. ,Pseudoanabaena spp.,Glaucocystis? ,Pennate diatom 1,Filamentous 1,Oedogonium?,Unidentified 1,Gloeocapsa? ,pollen?,Aulacoseira spp?,Selenastrum? Kirchnerielle?,Unidentified 2,Unidentified 3,Cyclotella,Centric internal?,Anabaena? ,Aphanocapsa? ,Unidentified 4,Merismopedia? ,Microcystis colony,Scenedesmus spp.,Unidentified 5,Unidentified 6,Unidentified 7,Aulacoseira?,Unidentified 8,Pennate diatom 2,Unidentified 9,Unidentified 10,Unidentified 11,Filamentous 2,Nitzschia acicularis?,Unidentified 12,Unidentified 13,Unidentified 14,Cylindrospernum spp. ,Tetraedron,Stephanodiscus? Discostella?,Thalassiosira,Crucigenia spp.?,Filamentous 3,Filamentous 4,Unidentified 15,Unidentified 16,Pennate diatom 3,Centric diatom 1,Unidentified 17,Unidentified 18,Dinobyron? ,Unidentified 19,Unidentified 20,Unidentified 21,Unidentified 22,Unidentified 23,Pennate Diatom 5,Selenastrum?,Unidentified 24
46,Phosphorus,400,130,29,6,0,0,8,46,0,0,2,0,2,0,0,15,0,0,2,0,1,0,2,0,0,0,2,0,14,0,0,0,44,1,4,0,2,0,0,29,4,0,24,15,0,0,0,4,2,4,0,0,3,0,2,1,0,2,0
47,Phosphorus,411,133,55,10,0,0,0,34,0,0,0,0,5,0,0,13,2,0,0,1,3,0,12,0,1,8,0,2,16,0,0,0,64,2,0,0,1,1,0,19,11,0,8,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
48,Phosphorus,448,133,40,23,0,0,0,63,0,0,0,0,13,0,1,6,0,0,2,1,12,0,0,0,1,4,10,0,14,0,1,3,30,1,2,0,1,2,0,25,9,0,25,9,0,0,0,2,2,4,0,0,0,0,0,1,2,0,0
49,Trace,409,186,16,13,0,0,0,70,0,0,0,0,2,0,0,16,0,0,1,0,2,1,2,0,0,1,0,0,12,0,2,0,12,4,2,0,2,2,0,26,0,0,27,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
50,Trace,427,193,12,6,0,0,0,112,0,0,0,0,0,0,0,26,0,0,1,0,6,0,4,0,0,1,0,1,2,0,0,0,14,3,0,0,0,2,0,21,8,0,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,Trace,455,153,17,6,0,0,0,131,5,0,0,0,2,0,0,13,0,0,1,1,1,1,2,0,0,0,39,4,12,0,0,0,18,5,0,0,0,2,0,24,5,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
52,Trace,442,115,22,16,0,0,0,101,0,0,0,0,6,0,0,22,2,0,0,2,5,0,6,0,0,0,29,2,8,0,0,0,28,2,0,0,0,0,0,34,1,0,25,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
53,N+Trace,442,197,18,20,0,0,0,54,4,0,0,0,4,0,0,12,0,0,0,2,9,0,0,8,0,2,15,2,14,0,0,0,9,3,2,0,1,2,0,30,7,0,17,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
54,N+Trace,471,164,20,29,0,0,0,74,2,0,0,0,3,0,1,20,0,1,2,2,15,1,4,4,0,1,6,2,14,0,1,0,14,3,2,0,0,5,0,31,2,0,30,7,0,0,1,2,1,2,0,0,0,0,1,1,0,0,0
55,N+Trace,421,176,12,12,0,0,0,77,4,2,0,6,2,1,0,16,1,0,0,1,0,0,0,3,0,0,0,2,22,0,0,0,27,0,0,0,0,1,0,32,3,0,12,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
56,N+Trace,440,178,20,31,1,1,0,33,2,1,0,0,6,0,0,30,0,0,2,1,5,0,0,2,0,1,0,0,24,0,0,0,23,4,2,0,0,3,0,25,3,0,32,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0
57,P+Trace,498,98,67,5,0,0,0,54,0,0,0,0,6,0,0,17,1,0,0,4,5,0,8,4,0,1,36,1,28,0,0,0,99,5,0,0,0,0,0,11,1,0,34,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
58,P+Trace,451,118,28,13,0,0,0,21,0,1,2,0,9,0,0,23,2,0,0,4,5,1,0,0,0,3,0,2,30,0,0,0,113,2,2,0,0,3,0,5,4,0,43,2,0,0,0,2,2,1,0,4,0,0,2,0,0,0,0
59,P+Trace,426,187,20,17,0,0,0,45,2,0,0,0,4,0,0,27,0,0,2,3,2,1,0,4,0,1,0,0,12,0,0,0,47,4,2,0,1,3,0,5,2,0,26,2,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0
60,P+Trace,436,200,40,13,0,0,0,19,0,0,0,0,4,0,0,30,0,0,0,3,2,0,0,0,0,1,0,0,30,0,0,0,9,4,0,0,0,9,0,30,2,0,29,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
61,N+P,472,136,24,17,0,2,0,21,6,0,0,0,2,0,0,14,2,0,2,1,5,0,20,2,2,10,0,2,8,0,0,2,90,3,2,2,1,5,0,15,4,0,40,6,0,0,2,6,1,3,0,4,0,0,0,0,0,0,0
62,N+P,490,175,12,29,0,0,0,98,1,0,0,8,9,0,6,16,10,0,2,0,6,0,0,0,0,2,7,1,5,0,0,0,48,2,6,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,N+P,483,158,45,28,0,0,0,9,0,0,0,0,3,0,0,26,4,0,3,1,9,0,0,0,0,0,0,0,42,0,0,0,65,3,2,0,0,3,1,12,13,8,17,11,0,2,0,2,0,6,0,0,0,0,1,1,0,1,0
64,N+P,465,158,40,26,2,0,0,17,8,0,0,0,5,1,1,26,1,2,4,1,12,0,0,6,0,2,0,3,10,0,1,0,24,1,2,0,2,3,0,11,11,4,34,11,0,0,0,2,2,6,2,0,2,0,3,0,0,1,1
65,N+P+Trace,476,76,22,6,0,0,0,35,6,0,0,85,5,0,0,16,0,0,3,0,6,0,0,10,0,3,0,1,8,0,2,0,109,3,4,0,0,4,0,3,6,0,36,8,0,0,0,4,0,3,1,0,2,0,3,4,0,1,0
66,N+P+Trace,449,91,30,22,0,0,0,14,0,0,0,0,16,2,0,14,0,0,2,3,15,2,4,0,0,2,38,0,6,0,0,0,91,7,6,0,0,8,0,16,2,0,40,11,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0
67,N+P+Trace,420,114,28,7,0,0,0,53,0,0,0,0,2,0,0,15,0,0,0,2,6,0,4,0,3,0,31,0,4,0,0,0,75,2,0,0,0,3,0,22,3,0,29,7,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0
68,N+P+Trace,416,158,15,6,0,1,0,32,3,0,0,0,3,0,0,19,0,0,1,2,3,0,10,0,0,2,0,5,8,0,0,0,60,1,4,0,0,5,0,22,1,1,42,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
69,Chelex,447,127,23,12,0,2,6,47,0,0,0,20,2,0,0,30,0,0,1,1,2,0,2,4,0,1,0,3,4,0,0,0,23,2,2,0,0,1,0,30,5,0,71,15,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0
70,Chelex,441,127,16,12,0,0,8,93,6,0,0,0,3,0,0,25,0,1,1,1,5,0,6,0,0,0,0,3,4,0,0,0,15,3,2,0,0,1,0,35,4,0,51,11,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0
71,Chelex,428,109,19,3,0,2,0,115,0,1,0,4,0,0,0,36,2,0,0,0,0,0,4,0,0,1,0,1,13,0,0,0,26,2,4,0,0,1,0,40,7,4,16,8,0,0,2,4,0,0,1,0,0,0,0,0,1,0,0
72,Chelex,415,135,29,6,0,1,6,59,6,0,0,0,4,0,0,41,0,0,0,0,0,0,4,4,0,0,0,0,20,0,0,0,15,2,0,0,0,0,0,47,6,0,21,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
